	#JCAT	Satcat	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
6654	S06655	06655	1973-032A	PH H        	Skylab SL-2	Apollo CM-116	1973-05-25	A02283	1973 May 25 1316	Earth	1973 May 26 0352	DK	A02275	JSC	US	RWID	CM	-	    6076 	 	   5845 	 	   14023 	 	   3.5 	 	  3.9 	 	    3.9 	 	Cone	1973 Jun  4	     425	 	     440	 	 50.04 	 	LLEO/I	-	-
6685	S06686	06686	1973-039A	P   D       	RAE 2	RAE B	1973-06-10	S06687	1973 Jun 10 1430	Earth	1973 Jun 11 0600?	DSO	D00492	GSFC	US	GSFC/FAIRH?	RAE	Star 17	     200 	 	    200 	 	     331 	 	   0.8 	 	  0.9 	 	  457.0 	 	Cyl + Ant	1973 Jun 10	     182	 	  390244	 	 29.10 	 	CLO	-	Explorer 49
6756	S06757	06757	1973-050A	PH H        	Skylab SL-3	Apollo CM-117	1973-07-28	A02332	1973 Jul 28 1128	Earth	1973 Jul 28 1932	DK	A02275	JSC	US	RWID	CM	-	    5932 	 	   5505 	 	   14168 	 	   3.5 	 	  3.9 	 	    3.9 	 	Cone	1973 Aug  8	     425	 	     439	 	 50.03 	 	LLEO/I	-	-
6892	S06893	06893	1973-078A	P   D       	IMP 8	IMP J	1973-10-26	S06896	1973 Oct 26 0240	Earth	1973 Oct 26 1956	DSO	D00513	GSFC	US	GSFC	IMP	Star 17A	     273 	 	    273 	 	     398 	 	   1.6 	 	  1.3 	 	  125.0 	 	Hexadec Cyl + 2 Ant	1975 Jul 25	  215092	 	  215092	 	 19.70 	 	DSO	-	Explorer 50
6918	S06919	06919	1973-085A	P   D       	Mariner 10	Mariner 73J	1973-11-03	A02354	1973 Nov  3 0624	Earth	1973 Nov  3 1358?	DSO	D00516	JPL	US	BOKT	Mariner	MRE-50	     502 	 	    473 	 	     502 	 	   3.7 	 	  1.4 	 	    7.6 	 	Oct Cyl + 2 Pan + 2 Ant	1973 Nov  3	     189	 	  -56493	 	 28.90 	 	EEO	-	-
6935	S06936	06936	1973-090A	PH H        	Skylab SL-4	CM-118	1973-11-16	A02388	1973 Nov 16 1419	Earth	1973 Nov 16 2202	DK	A02275	JSC	US	RWID	CM	-	    5931 	 	   5931 	 	   14888 	 	   3.5 	 	  3.9 	 	    3.9 	 	Cone	1974 Jan 21	     420	 	     444	 	 50.04 	 	LLEO/I	-	-
6976	S06977	06977	1973-101A	P           	AE-C	AE-C	1973-12-16	S06978	1973 Dec 16 0642	Earth	1978 Dec 12	R	-	GSFC	US	RCA	AE-C	MRE-4	     668 	 	    500 	 	     668 	 	   1.1 	 	  1.4 	 	    1.4 	 	Cyl	1974 Jan 29	     152	 	    4074	 	 68.07 	 	MEO	-	Explorer 51, Atmosphere Explorer C
7297	S07298	07298	1974-033A	P           	SMS 1	SMS A	1974-05-17	S07303	1974 May 17 0957	Earth	-	O	-	GSFC	US	PHFP	SMS	SVM-5	     285 	 	    269 	 	     627 	 	   2.6 	 	  1.9 	 	    3.5 	 	Cyl + Ant	1977 Jan 26	   35705	 	   35867	 	  2.29 	 	GEO/S	-	-
7317	S07318	07318	1974-039A	P           	ATS 6	ATS F	1974-05-30	S07324	1974 May 30 1933	Earth	-	O	-	GSFC	US	FAIR	ATS F	-	    1357 	 	   1308 	 	    1357 	 	   8.2 	 	  1.4 	 	    9.1 	 	Box + Truss + Dish	1977 Jan 20	   35779	 	   35794	 	  0.41 	 	GEO/S	-	-
7614	S07615	07615	1975-004A	P           	Landsat 2	Landsat B	1975-01-22	S07616	1975 Jan 22 1855	Earth	1983 Jan	N	-	GSFC	US	GEVF	Nimbus	-	     953 	 	    953 	 	     953 	 	   3.3 	 	  3.0 	 	    3.7 	 	Cone + 2 Pan	1975 Feb 24	     901	 	     917	 	 99.10 	 	LEO/S	-	ERTS B
7647	S07648	07648	1975-011A	P           	SMS 2	SMS B	1975-02-06	S08559	1975 Feb  6 2231	Earth	-	O	-	GSFC	US	FORDP	SMS	SVM-5	     309 	 	    293 	 	     628 	 	   2.6 	 	  1.9 	 	    3.5 	 	Cyl + Ant	1977 Jan 24	   35773	 	   35795	 	  0.52 	 	GEO/S	-	-
7787	S07788	07788	1975-037A	P           	SAS 3	SAS C	1975-05-07	S07789	1975 May  7 2300	Earth	1979 Apr  9	R	-	GSFC	US	APL	SAS	-	     189 	 	    189 	 	     189 	 	   1.5 	 	  0.6 	 	    4.7 	 	Cyl + 4 Pan	1975 Jun 24	     502	 	     509	 	  3.00 	 	LLEO/E	-	Explorer 53
7923	S07924	07924	1975-052A	P           	Nimbus 6	Nimbus F	1975-06-12	S07946	1975 Jun 12 0912	Earth	-	O	-	GSFC	US	GEVF	Nimbus	-	     827 	 	    827 	 	     827 	 	   3.7 	 	  3.4 	 	    3.7 	 	Cone + 2 Pan	1980 Jan  3	    1103	 	    1115	 	 99.90 	 	LEO/S	-	-
7969	S07970	07970	1975-057A	P           	OSO 8	OSO I	1975-06-21	S07971	1975 Jun 21 1218	Earth	1986 Jul  9	R	-	GSFC	US	HSES	HS-331	-	    1064 	 	   1064 	 	    1064 	 	   0.7 	 	  1.5 	 	    1.5 	 	Cyl + Sail + 2 Ant	1975 Jul 21	     540	 	     556	 	 32.95 	 	LLEO/I	-	-
8031	S08032	08032	1975-066A	PH H        	Apollo-Soyuz Test Project	Apollo CM-111	1975-07-15	A02585	1975 Jul 15 2104	Earth	1975 Jul 15 2128	DK	S08042	JSC	US	RWID	CM	-	    5873 	 	   5753 	?	   12908 	 	   3.5 	 	  3.9 	 	    3.9 	 	Cone	1975 Jul 17	     162	 	     224	 	 51.76 	 	LLEO/I	-	ASTP, Apollo
8041	S08042	08042	1975-066C	PP-H        	Docking Module 2	Apollo DM-2	1975-07-15	A02574	1975 Jul 15 2224	Earth	1975 Jul 17 1609	DK	S08030	JSC	US	RWID	DM	-	    2048 	 	   2048 	 	    2048 	 	   3.2 	 	  1.5 	 	    3.2 	 	Cyl + 2 Box	1975 Jul 24	     201	 	     222	 	 51.77 	 	LLEO/I	-	-
8107	S08108	08108	1975-075A	P   D       	Viking Orbiter 1	Viking Orbiter 1	1975-08-20	S08111	1975 Aug 20 2156	Earth	1975 Aug 21 0505?	DSO	D00544	JPL	US	JPL	Viking Orbiter	RS-2101C	    2328 	 	    883 	 	    2328 	 	   3.3 	 	  2.0 	 	    9.8 	 	Oct Cyl + Dome + 4 Pan	1975 Aug 20	     183	 	  -50629	 	 29.30 	 	EEO	-	-
8198	S08199	08199	1975-083A	P   D       	Viking Orbiter 2	Viking Orbiter 2	1975-09-09	S08272	1975 Sep  9 1916	Earth	1975 Sep 10 0314	DSO	D00551	JPL	US	JPL	Viking Orbiter	RS-2101C	    2328 	 	    883 	 	    2328 	 	   3.3 	 	  2.0 	 	    9.8 	 	Oct Cyl + Dome + 4 Pan	1975 Sep  9	     178	 	  -65940	 	 29.30 	 	EEO	-	-
8352	S08353	08353	1975-096A	P           	AE-D	AE-D	1975-10-06	S08354	1975 Oct  6 0912	Earth	1976 Mar 12	R	-	GSFC	US	RCA	AE-C	MRE-4	     675 	 	    506 	 	     675 	 	   1.1 	 	  1.4 	 	    1.4 	 	Cyl	1975 Nov  5	     135	 	    3569	 	 90.08 	 	MEO	-	Explorer 54, Atmosphere Explorer D
8439	S08440	08440	1975-107A	P           	AE-E	AE-E	1975-11-20	S08441	1975 Nov 20 0240	Earth	1981 Jun 10 1357	R	Caribbean	GSFC	US	RCA	AE-C	MRE-4	     720 	 	    552 	 	     720 	 	   1.1 	 	  1.4 	 	    1.4 	 	Cyl	1975 Dec 21	     142	 	    2819	 	 19.68 	 	LEO/E	-	Explorer 55, Atmosphere Explorer E
8819	S08820	08820	1976-039A	P           	Lageos	Lageos	1976-05-04	S08822	1976 May  4 0935	Earth	-	O	-	MSFC	US	BENDX	Lageos	-	     411 	 	    411 	 	     411 	 	   0.6 	 	  0.6 	 	    0.6 	 	Sphere	1976 Jun  3	    5834	 	    5951	 	109.89 	 	MEO	-	-
10216	S10217	10217	1977-075A	P           	HEAO 1	HEAO A	1977-08-12	S10218	1977 Aug 12 0652	Earth	1979 Mar 15	R	-	MSFC	US	TRW	HEAO	-	    2514 	 	   2393 	 	    2514 	 	   4.2 	 	  2.7 	 	    6.3 	 	Hex Cyl	1977 Sep 15	     428	 	     449	 	 22.76 	 	LLEO/E	-	-
10270	S10271	10271	1977-076A	P   D       	Voyager 2	Voyager 2	1977-08-20	S10273	1977 Aug 20 1543	Earth	1977 Aug 20 1937	DSO	D00574	JPL	US	JPL	Voyager	MR-104	     820 	 	    716 	 	     820 	 	   3.0 	?	  3.7 	 	   17.3 	?	Cyl + Dish + Ant	1977 Aug 20	     325	 	  -20834	 	 41.86 	 	EEO	-	-
10320	S10321	10321	1977-084A	P   D       	Voyager 1	Voyager 1	1977-09-05	S10323	1977 Sep  5 1410	Earth	1977 Sep  5 1748	DSO	D00578	JPL	US	JPL	Voyager	MR-104	     820 	 	    716 	 	     820 	 	   3.0 	?	  3.7 	 	   17.3 	?	Cyl + Dish + 2 Ant	1977 Sep  5	     327	 	  -20658	 	 28.51 	 	EEO	-	-
10421	S10422	10422	1977-102A	P           	ISEE 1	ISEE A	1977-10-22	S10425	1977 Oct 22 1451?	Earth	1987 Sep 26 0640?	R	-	GSFC	US	GSFC	IMP	-	     340 	 	    340 	 	     340 	 	   2.0 	?	  1.9 	 	  215.0 	 	Cyl + 2 Ant	1977 Nov 29	     764	 	  137531	 	 30.38 	 	VHEO	-	-
10701	S10702	10702	1978-026A	P           	Landsat 3	Landsat C	1978-03-05	S10704	1978 Mar  5 1908	Earth	1983 Jan	N	-	GSFC	US	GEVF	Nimbus	-	     900 	 	    900 	 	     900 	 	   3.0 	 	  3.3 	 	    3.6 	 	Cone + 2 Pan	1990 May 15	     898	 	     919	 	 98.76 	 	LEO/S	-	-
10817	S10818	10818	1978-041A	P           	HCMM	AEM-A	1978-04-26	S10819	1978 Apr 26 1035?	Earth	1981 Dec 22	R	-	GSFC	US	BOKT	AEM	-	     135 	 	    110 	?	     135 	 	   1.6 	 	  0.8 	?	    2.5 	?	Oct Cyl + Box + 2 Pan	1978 Jun 10	     610	 	     633	 	 97.60 	 	LEO/S	-	-
10910	S10911	10911	1978-051A	P   D       	Pioneer Venus Orbiter	Pioneer Venus Orbiter	1978-05-20	S10912	1978 May 20 1337	Earth	1978 May 20 2056	DSO	D00584	ARC	US	HSES	HS-507	Star 24	     394 	 	    182 	 	     590 	 	   1.2 	 	  2.5 	 	    4.6 	 	Cyl + Ant	1978 May 20	     170	?	  -52200	?	 28.50 	?	EEO	-	-
10966	S10967	10967	1978-064A	P           	Seasat 1	Seasat A	1978-06-27	A02969	1978 Jun 27	Earth	-	O	-	JPL	US	LMSC	Seasat	-	    1290 	?	   1290 	?	    2290 	 	  12.0 	 	  1.5 	 	   12.0 	 	Cyl + 3 Pan	1978 Aug  4	     775	 	     797	 	108.02 	 	LEO/R	-	-
11000	S11001	11001	1978-078A	P   D       	Pioneer Venus Multiprobe	Pioneer Venus Multiprobe	1978-08-08	S11003	1978 Aug  8 0805	Earth	1978 Aug  8 1722	DSO	D00588	ARC	US	HSES	HS-507	-	     290 	 	    258 	 	     290 	 	   1.2 	 	  2.5 	 	    1.2 	 	Cyl	1978 Aug  8	     170	 	 -106700	?	 28.60 	 	EEO	-	-
11003	S11004	11004	1978-079A	P   D       	ISEE 3	ISEE C	1978-08-12	S13413	1978 Aug 12 1610	Earth	1978 Aug 13 0621	DSO	D00604	GSFC	US	GSFC/FAIR	IMP	MRE-4	     479 	 	    389 	 	     479 	 	   1.6 	 	  1.8 	 	   92.0 	 	Cyl + 4 Ant	1978 Aug 12	     180	 	 1151164	 	 28.90 	 	CLO	-	-
11059	S11060	11060	1978-096A	P           	Tiros-N	Tiros-N	1978-10-13	R40704	1978 Oct 13 1133	Earth	-	O	-	GSFC	US	RCA	Tiros N	Star 37S	     675 	 	    675 	 	    1405 	 	   3.7 	 	  1.9 	 	    4.9 	 	Box + Pan	1978 Nov 12	     847	 	     865	 	 98.92 	 	LEO/S	-	-
11079	S11080	11080	1978-098A	P           	Nimbus 7	Nimbus G	1978-10-24	A03006	1978 Oct 24 0930	Earth	-	O	-	GSFC	US	GEVF	Nimbus	-	     987 	 	    987 	 	     987 	 	   3.7 	 	  3.4 	 	    3.7 	 	Cone + 2 Pan	1980 Jan  2	     948	 	     961	 	 99.29 	 	LEO/S	-	-
11080	S11081	11081	1978-098B	P A         	CAMEO	CAMEO	1978-10-24	A03006	1978 Oct 29 1109	Earth	-	AO	-	GSFC	US	GSFC	Delta Attached	-	      89 	 	     56 	 	     934 	 	   0.1 	 	  2.4 	 	    2.4 	 	5 Cyl + 2 Box	1993 Sep 28	     926	 	     969	 	 99.65 	 	LEO/S	-	-
11100	S11101	11101	1978-103A	P           	Einstein Observatory	HEAO B	1978-11-13	S11102	1978 Nov 13 0546	Earth	1982 Mar 25	R	-	MSFC	US	TRW	HEAO	-	    3130 	 	   3130 	 	    3130 	 	   5.8 	 	  2.4 	 	    6.0 	?	Oct Cyl	1978 Dec 14	     520	 	     541	 	 23.50 	 	LLEO/E	-	HEAO 2
11269	S11270	11270	1979-013A	P           	SAGE	AEM-B	1979-02-18	S11271	1979 Feb 18 1629	Earth	1989 Apr 11	R	-	GSFC	US	GSFC	AEM	-	     147 	 	    147 	 	     147 	 	   1.6 	 	  0.7 	 	    2.0 	?	Cyl	1979 Mar 20	     547	 	     659	 	 54.93 	 	LEO/I	-	-
11531	S11532	11532	1979-082A	P           	HEAO 3	HEAO C	1979-09-20	S11533	1979 Sep 20 0551	Earth	1981 Dec  7	R	-	MSFC	US	TRW	HEAO	-	    2860 	 	   2860 	 	    2860 	 	   5.4 	 	  2.7 	 	    5.4 	 	Oct Cyl	1979 Oct 28	     481	 	     497	 	 43.60 	 	LLEO/I	-	-
11603	S11604	11604	1979-094A	P           	Magsat	AEM-C	1979-10-30	S11606	1979 Oct 30 1428	Earth	1980 Jun 11	R	-	GSFC	US	APL	SAS	-	     181 	 	    181 	 	     181 	 	   1.6 	 	  0.8 	 	    7.6 	 	Cyl + 4 Pan + Ant	1979 Nov 29	     347	 	     541	 	 96.79 	 	LLEO/S	-	-
11702	S11703	11703	1980-014A	P           	Solar Maximum Mission	SMM	1980-02-14	S11704	1980 Feb 14 1708	Earth	1984 Apr 10 1352	ATT	A03807	GSFC	US	FAIR	MMS	MMS-AOCS	    1721 	 	   1721 	 	    2315 	 	   4.0 	 	  2.1 	?	   10.0 	?	Box + Box + 2 Pan	1980 Mar 15	     566	 	     569	 	 28.51 	 	LLEO/I	-	-
12102	S12103	12103	1978-078D	P   D       	Sounder Probe	Large Probe	1978-08-08	S11001	1978 Aug  8 0805	Earth	1978 Aug  8 1722	DSA	D00590	ARC	US	HSES	PV Large Probe	-	     207 	 	    207 	 	     315 	 	   0.7 	 	  0.7 	 	    0.7 	 	Sphere	1978 Nov 16	-	 	-	 	-	 	-	-	-
12103	S12104	12104	1978-078E	P   D       	North Probe	Small Probe 1	1978-08-08	S11001	1978 Aug  8 0805	Earth	1978 Aug  8 1722	DSA	D00591	ARC	US	HSES	PV Small Probe	-	      90 	 	     90 	 	      90 	 	   1.0 	 	  0.8 	 	    1.0 	 	Cone	1978 Nov 20	-	 	-	 	-	 	-	-	-
12104	S12105	12105	1978-078F	P   D       	Day Probe	Small Probe 2	1978-08-08	S11001	1978 Aug  8 0805	Earth	1978 Aug  8 1722	DSA	D00592	ARC	US	HSES	PV Small Probe	-	      90 	 	     90 	 	      90 	 	   1.0 	 	  0.8 	 	    1.0 	 	Cone	1978 Nov 20	-	 	-	 	-	 	-	-	-
12105	S12106	12106	1978-078G	P   D       	Night Probe	Small Probe 3	1978-08-08	S11001	1978 Aug  8 0805	Earth	1978 Aug  8 1722	DSA	D00593	ARC	US	HSES	PV Small Probe	-	      90 	 	     90 	 	      90 	 	   1.0 	 	  0.8 	 	    1.0 	 	Cone	1978 Nov 20	-	 	-	 	-	 	-	-	-
12398	S12399	12399	1981-034A	PH H-S      	Columbia (STS-1)	OV-102	1981-04-12	A03304	1981 Apr 12 1208	Earth	1981 Apr 14 1820	L	EAFB RW23	JSC	US	RWI	STS OV	-	   89739 	 	  83869 	 	   94535 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1981 Apr 13	     266	 	     271	 	 40.34 	 	LLEO/I	-	-
12623	S12624	12624	1981-070A	P           	Dynamics Explorer 1	DE A	1981-08-03	S12679	1981 Aug  3 1039	Earth	-	O	-	GSFC	US	RCA	DE	-	     424 	 	    424 	 	     424 	 	   1.1 	 	  1.4 	 	  200.0 	 	Cyl + Ant	1981 Sep  7	     558	 	   23300	 	 89.92 	 	HEO	-	-
12624	S12625	12625	1981-070B	P           	Dynamics Explorer 2	DE B	1981-08-03	S12628	1981 Aug  3 1015	Earth	1983 Feb 19	R	-	GSFC	US	RCA	DE	-	     420 	 	    403 	 	     420 	 	   1.1 	 	  1.4 	 	   22.0 	?	Cyl + 2 Ant	1981 Sep  3	     299	 	     990	 	 89.99 	 	LEO/P	-	-
12952	S12953	12953	1981-111A	PH H-S      	Columbia (STS-2)	OV-102	1981-11-12	A03390	1981 Nov 12 1518	Earth	1981 Nov 14 2123	L	EAFB RW23	JSC	US	RWI	STS OV	-	   91111 	 	  84044 	 	   99719 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1981 Nov 13	     254	 	     264	 	 38.03 	 	LLEO/I	-	-
13105	S13106	13106	1982-022A	PH H-S      	Columbia (STS-3)	OV-102	1982-03-22	A03437	1982 Mar 22 1608	Earth	1982 Mar 30 1604	L	WSMR RW17	JSC	US	RWI	STS OV	-	   90916 	 	  83698 	 	  101144 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1982 Mar 24	     237	 	     245	 	 38.03 	 	LLEO/I	-	-
13299	S13300	13300	1982-065A	PH H-S      	Columbia (STS-4)	OV-102	1982-06-27	A03479	1982 Jun 27 1508	Earth	1982 Jul  4 1609	L	EAFB RW22	JSC	US	RWI	STS OV	-	   93372 	 	  84529 	 	  103620 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1982 Jun 29	     295	 	     304	 	 28.52 	 	LLEO/I	-	-
13366	S13367	13367	1982-072A	P           	Landsat 4	Landsat D	1982-07-16	S13368	1982 Jul 16 1852	Earth	1983 Jan	N	-	GSFC	US	GEVF/FAIR	MMS	MMS-AOCS	    1938 	 	   1863 	 	    1938 	 	   4.3 	 	  2.1 	 	    6.0 	?	Box + 2 Pan	1982 Aug 17	     700	 	     704	 	 98.25 	 	LEO/S	-	-
13649	S13650	13650	1982-110A	PH H-S      	Columbia (STS-5)	OV-102	1982-11-11	A03548	1982 Nov 11 1227	Earth	1982 Nov 16 1433	L	EAFB RW22	JSC	US	RWI	STS OV	-	   90523 	 	  84104 	 	  104876 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1982 Nov 13	     296	 	     318	 	 28.47 	 	LLEO/I	-	-
13967	S13968	13968	1983-026A	PH H-S      	Challenger (STS-6)	OV-099	1983-04-04	A03601	1983 Apr  4 1838	Earth	1983 Apr  9 1853	L	EAFB RW22	JSC	US	RWI	STS OV	-	   88202 	 	  82101 	 	  109463 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1983 Apr  6	     279	 	     289	 	 28.47 	 	LLEO/I	-	-
13968	S13969	13969	1983-026B	P ---S-     	TDRS 1	TDRS A	1983-04-04	S13971	1983 Apr  5 1100?	Earth	-	O	-	GSFC	US	TRW	TDRS	AOCS	    2263 	 	   1673 	 	    2263 	 	   1.3 	 	  2.4 	 	   17.4 	 	Box + Dish + 2 Pan	1984 Apr  1	   35779	 	   35801	 	  1.37 	 	GEO/S	-	-
14131	S14132	14132	1983-059A	PH H-S      	Challenger (STS-7)	OV-099	1983-06-18	A03647	1983 Jun 18 1141	Earth	1983 Jun 24 1357	L	EAFB RW15	JSC	US	RWI	STS OV	-	   91167 	 	  84532 	 	  105967 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1983 Jun 20	     296	 	     321	 	 28.46 	 	LLEO/I	-	-
14311	S14312	14312	1983-089A	PH H-S      	Challenger (STS-8)	OV-099	1983-08-30	A03697	1983 Aug 30 0640	Earth	1983 Sep  5 0740	L	EAFB RW22	JSC	US	RWI	STS OV	-	   90586 	 	  83340 	 	  103131 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1983 Sep  1	     298	 	     309	 	 28.47 	 	LLEO/I	-	-
14522	S14523	14523	1983-116A	PH H-S      	Columbia (STS-9)	OV-102	1983-11-28	A03738	1983 Nov 28 1608	Earth	1983 Dec  8 2347	L	EAFB RW17	JSC	US	RWI	STS OV	-	   93583 	 	  86431 	 	  106954 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1983 Nov 30	     241	 	     251	 	 57.02 	 	LLEO/I	-	-
14680	S14681	14681	1984-011A	PH H-S      	Challenger (STS 41-B)	OV-099	1984-02-03	A03763	1984 Feb  3 1309	Earth	1984 Feb 11 1215	L	KSC RW15	JSC	US	RWI	STS OV	-	   92710 	 	  84637 	 	  106189 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1984 Feb  5	     305	 	     322	 	 28.47 	 	LLEO/I	-	-
14688	S14689	14689	1984-011C	P ---S-     	IRT	IRT	1984-02-03	A03770	1984 Feb  5 1151	Earth	1984 Feb 11 1700?	R	-	JSC	US	SDCO	IRT	-	      95 	 	     95 	 	      95 	 	   0.5 	?	  0.5 	?	    0.5 	?	Cyl + Inf Sphere	1984 Feb  5	     269	 	     283	 	 28.46 	 	LLEO/I	-	-
14896	S14897	14897	1984-034A	PH H-S      	Challenger (STS 41-C)	OV-099	1984-04-06	A03808	1984 Apr  6 1406	Earth	1984 Apr 13 1338	L	EAFB RW17	JSC	US	RWI	STS OV	-	   94981 	 	  82827 	 	  111205 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1984 Apr  8	     477	 	     481	 	 28.51 	 	LLEO/I	-	-
15198	S15199	15199	1984-088A	P           	Charge Composition Explorer	AMPTE-CCE	1984-08-16	S15201	1984 Aug 16 1603	Earth	-	O	-	GSFC	US	APL	AMPTE-CCE	Star 13B	     198 	 	    183 	 	     245 	 	   0.4 	 	  1.2 	 	    2.5 	 	Box + 2 Pan	1984 Sep 18	    1108	 	   49675	 	  4.84 	 	HEO	-	-
15233	S15234	15234	1984-093A	PH H-S      	Discovery (STS 41-D)	OV-103	1984-08-30	A03887	1984 Aug 30 1250	Earth	1984 Sep  5 1338	L	EAFB RW17	JSC	US	RWI	STS OV	-	   92955 	 	  86086 	 	  111993 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1984 Sep  1	     296	 	     329	 	 28.46 	 	LLEO/I	-	-
15352	S15353	15353	1984-108A	PH H-S      	Challenger (STS 41-G)	OV-099	1984-10-05	A03918	1984 Oct  5 1112	Earth	1984 Oct 13 1626	L	KSC RW33	JSC	US	RWI	STS OV	-	   93769 	 	  85092 	 	  102668 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1984 Oct  7	     250	 	     261	 	 57.00 	 	LLEO/I	-	-
15353	S15354	15354	1984-108B	P ---S-     	ERBS	ERBS	1984-10-05	S15353  8    	1984 Oct  5 1505?	Earth	1984 Oct  5 1830?	ATT	A03927	GSFC	US	BALL	ERBS	-	    2245 	 	   2100 	?	    2245 	 	   1.6 	 	  3.8 	 	    4.6 	 	Box + 2 Pan	1988 Jun 13	     596	 	     609	 	 57.00 	 	LEO/I	-	-
15381	S15382	15382	1984-113A	PH H-S      	Discovery (STS 51-A)	OV-103	1984-11-08	A03945	1984 Nov  8 1223	Earth	1984 Nov 16 1200	L	KSC RW15	JSC	US	RWI	STS OV	-	   92976 	 	  85254 	 	  112043 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1984 Nov 10	     306	 	     313	 	 28.47 	 	LLEO/I	-	-
15495	S15496	15496	1985-010A	PH H-S      	Discovery (STS 51-C)	OV-103	1985-01-24	A04004	1985 Jan 24 1958	Earth	1985 Jan 27 2123	L	KSC RW15	JSC	US	RWI	STS OV	-	   90925 	?	  84525 	?	  112500 	?	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1985 Jan 26	     334	 	     375	 	 28.47 	 	LLEO/I	-	-
15640	S15641	15641	1985-028A	PH H-S      	Discovery (STS 51-D)	OV-103	1985-04-12	A04030	1985 Apr 12 1408	Earth	1985 Apr 19 1354	L	KSC RW33	JSC	US	RWI	STS OV	-	   95325 	 	  86839 	 	  108544 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1985 Apr 14	     314	 	     461	 	 28.53 	 	LLEO/I	-	-
15664	S15665	15665	1985-034A	PH H-S      	Challenger (STS 51-B)	OV-099	1985-04-29	A04044	1985 Apr 29 1611	Earth	1985 May  6 1611	L	EAFB RW17	JSC	US	RWI	STS OV	-	   93125 	 	  85260 	 	  104754 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1985 May  1	     345	 	     359	 	 56.99 	 	LLEO/I	-	-
15822	S15823	15823	1985-048A	PH H-S      	Discovery (STS 51-G)	OV-103	1985-06-17	A04072	1985 Jun 17 1141	Earth	1985 Jun 24 1311	L	EAFB RW23	JSC	US	RWI	STS OV	-	   92825 	 	  85214 	 	  110576 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1985 Jun 19	     354	 	     380	 	 28.47 	 	LLEO/I	-	-
15830	S15831	15831	1985-048E	P ---S-     	Spartan 1	Spartan 101	1985-06-17	A04075	1985 Jun 20 1507	Earth	1985 Jun 20 1507	GRP	A04082	GSFC	US	GSFC	SPTN-100	-	    1006 	 	   1006 	 	    1006 	 	   3.2 	 	  1.2 	 	    3.2 	 	Box	1985 Jun 20	     354	 	     390	 	 28.47 	 	LLEO/I	-	-
15924	S15925	15925	1985-063A	PH H-S      	Challenger (STS 51-F)	OV-099	1985-07-29	A04105	1985 Jul 29 2109	Earth	1985 Aug  6 1945	L	EAFB RW23	JSC	US	RWI	STS OV	-	   95229 	 	  85615 	 	  107923 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1985 Jul 31	     311	 	     320	 	 49.48 	 	LLEO/I	-	-
15928	S15929	15929	1985-063B	P ---S-     	PDP	PDP	1985-07-29	A04108	1985 Jul 30 2328	Earth	1985 Jul 30 2328	GRP	A04111	MSFC	US	UIA	PDP	-	     285 	 	    285 	 	     285 	 	   0.7 	 	  1.0 	 	    2.0 	?	Cyl + 4 Ant	1985 Aug  1	     310	 	     320	 	 49.48 	 	LLEO/I	-	-
15991	S15992	15992	1985-076A	PH H-S      	Discovery (STS 51-I)	OV-103	1985-08-27	A04119	1985 Aug 27 1106	Earth	1985 Sep  3 1315	L	EAFB RW23	JSC	US	RWI	STS OV	-	   94888 	 	  85474 	 	  113161 	 	  37.3 	 	 23.8 	 	   37.3 	 	Box + 2 Wing + Fin	1985 Aug 29	     351	 	     395	 	 28.55 	 	LLEO/I	-	-
